"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","4981871","348","1660623"
"создание и поддержка интеллектуальных медиасистем","8874252","350","4437126"
"телефония","6125255","347","3062627"
"создание виртуального офиса","9258207","80","3086069"
"организация резервного копирования","7889166","124","2629722"
"администрирование сетей и серверов","7677171","153","3838585"
"техническая поддержка рабочих станций и ИТ сервисов","8975935","89","2991978"
"веб-разработка","1770322","269","885161"
"создание мобильных систем","1221668","363","610834"
"создание и обслуживание систем контроля доступа к портам и устройствам","3240960","53","1620480"
"организацию антивирусной защиты","2869614","100","956538"
"решения касающиеся сетевой безопасности и отражения угроз","9020632","76","4510316"
"организация систем видеонаблюдения","4872206","23","2436103"
"построение и обслуживание структурированных кабельных систем (СКС)","3709519","280","1236506"
"создание и поддержка интеллектуальных медиасистем","4764996","60","2382498"
"телефония","9986356","217","3328785"
"создание виртуального офиса","4094016","244","2047008"
"организация резервного копирования","842985","32","280995"
"администрирование сетей и серверов","4505537","239","2252768"
"техническая поддержка рабочих станций и ИТ сервисов","9709457","351","4854728"
"веб-разработка","676549","158","225516"
"создание мобильных систем","3431291","86","1143763"
"создание и обслуживание систем контроля доступа к портам и устройствам","5066124","257","1688708"
"организацию антивирусной защиты","4501638","347","1500546"
"решения касающиеся сетевой безопасности и отражения угроз","6035716","273","2011905"
"организация систем видеонаблюдения","4481266","101","2240633"
"построение и обслуживание структурированных кабельных систем (СКС)","9702178","45","4851089"
"создание и поддержка интеллектуальных медиасистем","2531717","244","843905"
"телефония","6184863","46","3092431"
"создание виртуального офиса","913397","90","304465"
"организация резервного копирования","9557355","268","3185785"
"администрирование сетей и серверов","1608641","242","536213"
"техническая поддержка рабочих станций и ИТ сервисов","3680885","269","1226961"
"веб-разработка","4709214","300","2354607"
"создание мобильных систем","7068424","96","3534212"
"создание и обслуживание систем контроля доступа к портам и устройствам","1803642","140","601214"
"организацию антивирусной защиты","3527495","300","1175831"
"решения касающиеся сетевой безопасности и отражения угроз","8870390","221","4435195"
"организация систем видеонаблюдения","9977897","21","3325965"
"построение и обслуживание структурированных кабельных систем (СКС)","824839","44","274946"
"создание и поддержка интеллектуальных медиасистем","7066680","24","3533340"
"телефония","763884","288","381942"
"создание виртуального офиса","5275483","171","1758494"
"организация резервного копирования","4912990","264","2456495"
"администрирование сетей и серверов","4773069","269","2386534"
"техническая поддержка рабочих станций и ИТ сервисов","2423954","54","1211977"
"веб-разработка","2762622","158","920874"
"создание мобильных систем","5637890","318","2818945"
"создание и обслуживание систем контроля доступа к портам и устройствам","4787923","176","2393961"
"организацию антивирусной защиты","1504149","339","752074"
"решения касающиеся сетевой безопасности и отражения угроз","1789909","345","894954"
"организация систем видеонаблюдения","6562314","45","2187438"
"построение и обслуживание структурированных кабельных систем (СКС)","8812928","261","2937642"
"создание и поддержка интеллектуальных медиасистем","8300886","84","4150443"
"телефония","404567","45","134855"
"создание виртуального офиса","1622858","332","811429"
"организация резервного копирования","7551986","308","3775993"
"администрирование сетей и серверов","2928554","175","976184"
"техническая поддержка рабочих станций и ИТ сервисов","132162","135","44054"
"веб-разработка","8010784","27","4005392"
"создание мобильных систем","481492","185","240746"
"создание и обслуживание систем контроля доступа к портам и устройствам","904362","187","301454"
"организацию антивирусной защиты","7001295","75","3500647"
"решения касающиеся сетевой безопасности и отражения угроз","3148350","124","1574175"
"организация систем видеонаблюдения","4993599","331","1664533"
"построение и обслуживание структурированных кабельных систем (СКС)","1351416","126","450472"
"создание и поддержка интеллектуальных медиасистем","2119456","241","706485"
"телефония","1407023","46","469007"
"создание виртуального офиса","6594365","154","3297182"
"организация резервного копирования","6587503","358","2195834"
"администрирование сетей и серверов","9825494","231","4912747"
"техническая поддержка рабочих станций и ИТ сервисов","9817063","50","3272354"
"веб-разработка","6499913","318","2166637"
"создание мобильных систем","9115301","98","4557650"
"создание и обслуживание систем контроля доступа к портам и устройствам","821471","205","273823"
"организацию антивирусной защиты","9547947","177","3182649"
"решения касающиеся сетевой безопасности и отражения угроз","6571986","96","2190662"
"организация систем видеонаблюдения","6683392","28","3341696"
"построение и обслуживание структурированных кабельных систем (СКС)","1614509","231","807254"
"создание и поддержка интеллектуальных медиасистем","2491642","227","1245821"
"телефония","2921821","143","1460910"
"создание виртуального офиса","4481746","192","2240873"
"организация резервного копирования","7268578","213","3634289"
"администрирование сетей и серверов","9365559","37","4682779"
"техническая поддержка рабочих станций и ИТ сервисов","9615946","153","3205315"
"веб-разработка","6408210","96","3204105"
"создание мобильных систем","9946823","174","3315607"
"создание и обслуживание систем контроля доступа к портам и устройствам","9727124","160","4863562"
"организацию антивирусной защиты","7610991","362","2536997"
"решения касающиеся сетевой безопасности и отражения угроз","1875576","71","937788"
"организация систем видеонаблюдения","1641020","347","547006"
"построение и обслуживание структурированных кабельных систем (СКС)","898364","196","299454"
"создание и поддержка интеллектуальных медиасистем","414753","84","207376"
"телефония","5125781","213","2562890"
"создание виртуального офиса","4960042","184","2480021"
"организация резервного копирования","4612445","116","2306222"
"администрирование сетей и серверов","4565138","140","1521712"
"техническая поддержка рабочих станций и ИТ сервисов","5314317","180","2657158"
"веб-разработка","1436564","360","718282"
"создание мобильных систем","383281","200","191640"
"создание и обслуживание систем контроля доступа к портам и устройствам","3077588","305","1538794"
"организацию антивирусной защиты","5289714","79","2644857"
"решения касающиеся сетевой безопасности и отражения угроз","6610667","160","3305333"
"организация систем видеонаблюдения","3831208","217","1277069"
"построение и обслуживание структурированных кабельных систем (СКС)","9930459","238","3310153"
"создание и поддержка интеллектуальных медиасистем","3878206","133","1939103"
"телефония","2975360","248","991786"
"создание виртуального офиса","9714899","247","4857449"
"организация резервного копирования","946208","132","473104"
"администрирование сетей и серверов","9852172","36","4926086"
"техническая поддержка рабочих станций и ИТ сервисов","5603509","27","1867836"
"веб-разработка","2684335","57","894778"
"создание мобильных систем","8517217","131","4258608"
"создание и обслуживание систем контроля доступа к портам и устройствам","2262612","180","754204"
"организацию антивирусной защиты","7156109","299","3578054"
"решения касающиеся сетевой безопасности и отражения угроз","3715371","321","1238457"
"организация систем видеонаблюдения","4243526","98","2121763"
"построение и обслуживание структурированных кабельных систем (СКС)","1957409","319","978704"
"создание и поддержка интеллектуальных медиасистем","7942402","327","3971201"
"телефония","9967384","362","3322461"
"создание виртуального офиса","3883935","154","1941967"
"организация резервного копирования","3272977","312","1090992"
"администрирование сетей и серверов","7538965","106","2512988"
"техническая поддержка рабочих станций и ИТ сервисов","9592781","110","4796390"
"веб-разработка","6844874","280","3422437"
"создание мобильных систем","8307240","150","4153620"
"создание и обслуживание систем контроля доступа к портам и устройствам","8579071","214","4289535"
"организацию антивирусной защиты","3267604","275","1633802"
"решения касающиеся сетевой безопасности и отражения угроз","7147536","315","3573768"
"организация систем видеонаблюдения","2386641","15","795547"
"построение и обслуживание структурированных кабельных систем (СКС)","8947110","81","4473555"
"создание и поддержка интеллектуальных медиасистем","1254325","209","627162"
"телефония","9125903","255","3041967"
"создание виртуального офиса","6461235","301","2153745"
"организация резервного копирования","3138284","126","1046094"
"администрирование сетей и серверов","2162908","151","720969"
"техническая поддержка рабочих станций и ИТ сервисов","1781074","240","890537"
"веб-разработка","5497771","95","1832590"
"создание мобильных систем","6270562","221","3135281"
"создание и обслуживание систем контроля доступа к портам и устройствам","6636521","346","3318260"
"организацию антивирусной защиты","1444476","45","722238"
"решения касающиеся сетевой безопасности и отражения угроз","7403404","180","2467801"
"организация систем видеонаблюдения","6188121","129","2062707"
"построение и обслуживание структурированных кабельных систем (СКС)","9065588","86","3021862"
"создание и поддержка интеллектуальных медиасистем","6583747","74","2194582"
"телефония","2993104","233","997701"
"создание виртуального офиса","6948473","77","2316157"
"организация резервного копирования","1228571","64","614285"
"администрирование сетей и серверов","1961497","309","653832"
"техническая поддержка рабочих станций и ИТ сервисов","4160089","102","1386696"
"веб-разработка","9997322","329","4998661"
"создание мобильных систем","3039498","169","1013166"
"создание и обслуживание систем контроля доступа к портам и устройствам","7891879","263","2630626"
"организацию антивирусной защиты","2435784","187","811928"
"решения касающиеся сетевой безопасности и отражения угроз","6991696","190","2330565"
"организация систем видеонаблюдения","6672454","248","3336227"
"построение и обслуживание структурированных кабельных систем (СКС)","1293746","88","646873"
"создание и поддержка интеллектуальных медиасистем","9164217","33","3054739"
"телефония","346420","225","173210"
"создание виртуального офиса","7892310","237","3946155"
"организация резервного копирования","8284031","259","2761343"
"администрирование сетей и серверов","1510681","262","755340"
"техническая поддержка рабочих станций и ИТ сервисов","7988828","127","2662942"
"веб-разработка","7717422","57","2572474"
"создание мобильных систем","6342962","246","3171481"
"создание и обслуживание систем контроля доступа к портам и устройствам","3924678","352","1962339"
"организацию антивирусной защиты","198045","325","99022"
"решения касающиеся сетевой безопасности и отражения угроз","8415545","41","4207772"
"организация систем видеонаблюдения","8773202","348","4386601"
"построение и обслуживание структурированных кабельных систем (СКС)","3187041","61","1593520"
"создание и поддержка интеллектуальных медиасистем","7607623","14","2535874"
"телефония","5135042","253","1711680"
"создание виртуального офиса","3949065","352","1974532"
"организация резервного копирования","4122194","247","2061097"
"администрирование сетей и серверов","9289983","140","4644991"
"техническая поддержка рабочих станций и ИТ сервисов","649663","284","216554"
"веб-разработка","1655784","132","827892"
"создание мобильных систем","8751161","21","2917053"
"создание и обслуживание систем контроля доступа к портам и устройствам","3164458","307","1054819"
"организацию антивирусной защиты","2860059","247","1430029"
"решения касающиеся сетевой безопасности и отражения угроз","3497191","26","1165730"
"организация систем видеонаблюдения","8832332","197","2944110"
"построение и обслуживание структурированных кабельных систем (СКС)","8280388","100","4140194"
"создание и поддержка интеллектуальных медиасистем","8039231","172","2679743"
"телефония","759241","32","379620"
"создание виртуального офиса","8345970","238","4172985"
"организация резервного копирования","3550513","120","1775256"
"администрирование сетей и серверов","7256156","297","2418718"
"техническая поддержка рабочих станций и ИТ сервисов","2309789","146","769929"
"веб-разработка","6669690","213","2223230"
"создание мобильных систем","4748619","186","2374309"
"создание и обслуживание систем контроля доступа к портам и устройствам","9385143","222","4692571"
"организацию антивирусной защиты","671810","310","335905"
"решения касающиеся сетевой безопасности и отражения угроз","3441753","299","1720876"
"организация систем видеонаблюдения","4384986","149","2192493"
"построение и обслуживание структурированных кабельных систем (СКС)","7325457","155","2441819"
"создание и поддержка интеллектуальных медиасистем","9750466","241","4875233"
"телефония","3631582","305","1210527"
"создание виртуального офиса","5173281","302","2586640"
"организация резервного копирования","1942354","195","971177"
"администрирование сетей и серверов","6133471","327","2044490"
"техническая поддержка рабочих станций и ИТ сервисов","4025652","55","2012826"
"веб-разработка","2635829","59","878609"
"создание мобильных систем","5798354","269","2899177"
"создание и обслуживание систем контроля доступа к портам и устройствам","8905964","192","2968654"
"организацию антивирусной защиты","3490227","194","1745113"
"решения касающиеся сетевой безопасности и отражения угроз","566281","317","283140"
"организация систем видеонаблюдения","4690276","150","1563425"
