"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","5213554","325","2606777"
"создание и поддержка интеллектуальных медиасистем","5721782","282","1907260"
"телефония","5939999","138","1979999"
"создание виртуального офиса","6184133","341","3092066"
"организация резервного копирования","8405557","121","2801852"
"администрирование сетей и серверов","3732874","142","1244291"
"техническая поддержка рабочих станций и ИТ сервисов","9840909","171","3280303"
"веб-разработка","5920207","90","2960103"
"создание мобильных систем","2046013","345","1023006"
"создание и обслуживание систем контроля доступа к портам и устройствам","2611461","319","1305730"
"организацию антивирусной защиты","5677959","215","1892653"
"решения касающиеся сетевой безопасности и отражения угроз","5061653","88","1687217"
"организация систем видеонаблюдения","3995410","261","1331803"
"построение и обслуживание структурированных кабельных систем (СКС)","7783035","159","2594345"
"создание и поддержка интеллектуальных медиасистем","3255724","20","1627862"
"телефония","4417772","180","1472590"
"создание виртуального офиса","7254352","120","3627176"
"организация резервного копирования","9664724","158","3221574"
"администрирование сетей и серверов","7404957","215","3702478"
"техническая поддержка рабочих станций и ИТ сервисов","5322839","322","2661419"
"веб-разработка","4783267","57","2391633"
"создание мобильных систем","6011810","173","3005905"
"создание и обслуживание систем контроля доступа к портам и устройствам","6106720","158","2035573"
"организацию антивирусной защиты","5285763","303","1761921"
"решения касающиеся сетевой безопасности и отражения угроз","9171616","116","4585808"
"организация систем видеонаблюдения","773935","296","257978"
"построение и обслуживание структурированных кабельных систем (СКС)","1683345","233","561115"
"создание и поддержка интеллектуальных медиасистем","3086505","98","1028835"
"телефония","5112962","244","1704320"
"создание виртуального офиса","8316400","300","2772133"
"организация резервного копирования","1882694","321","627564"
"администрирование сетей и серверов","8400727","176","2800242"
"техническая поддержка рабочих станций и ИТ сервисов","5198912","89","1732970"
"веб-разработка","4056982","253","2028491"
"создание мобильных систем","5339966","264","2669983"
"создание и обслуживание систем контроля доступа к портам и устройствам","5281000","198","1760333"
"организацию антивирусной защиты","3155112","104","1051704"
"решения касающиеся сетевой безопасности и отражения угроз","686211","20","343105"
"организация систем видеонаблюдения","1747397","63","873698"
"построение и обслуживание структурированных кабельных систем (СКС)","2916942","40","1458471"
"создание и поддержка интеллектуальных медиасистем","1451322","332","725661"
"телефония","5529593","344","2764796"
"создание виртуального офиса","3350054","51","1675027"
"организация резервного копирования","8811826","301","2937275"
"администрирование сетей и серверов","1192675","143","397558"
"техническая поддержка рабочих станций и ИТ сервисов","7499438","355","2499812"
"веб-разработка","4309294","308","2154647"
"создание мобильных систем","1833363","314","916681"
"создание и обслуживание систем контроля доступа к портам и устройствам","2964021","164","988007"
"организацию антивирусной защиты","6863836","326","2287945"
"решения касающиеся сетевой безопасности и отражения угроз","652089","151","326044"
"организация систем видеонаблюдения","2242602","93","747534"
"построение и обслуживание структурированных кабельных систем (СКС)","1801151","83","900575"
"создание и поддержка интеллектуальных медиасистем","1986453","231","662151"
"телефония","3842843","277","1921421"
"создание виртуального офиса","864878","260","432439"
"организация резервного копирования","752526","244","376263"
"администрирование сетей и серверов","7496243","73","2498747"
"техническая поддержка рабочих станций и ИТ сервисов","475405","272","237702"
"веб-разработка","9175443","206","3058481"
"создание мобильных систем","7490016","36","3745008"
"создание и обслуживание систем контроля доступа к портам и устройствам","8163501","169","4081750"
"организацию антивирусной защиты","9310385","57","3103461"
"решения касающиеся сетевой безопасности и отражения угроз","3693806","175","1846903"
"организация систем видеонаблюдения","9809792","225","4904896"
"построение и обслуживание структурированных кабельных систем (СКС)","6602150","180","2200716"
"создание и поддержка интеллектуальных медиасистем","792004","315","264001"
"телефония","7826419","79","2608806"
"создание виртуального офиса","4887107","281","2443553"
"организация резервного копирования","3005696","252","1001898"
"администрирование сетей и серверов","6629504","256","2209834"
"техническая поддержка рабочих станций и ИТ сервисов","8288031","361","4144015"
"веб-разработка","342046","146","114015"
"создание мобильных систем","1487758","128","495919"
"создание и обслуживание систем контроля доступа к портам и устройствам","3710443","330","1236814"
"организацию антивирусной защиты","3943954","113","1314651"
"решения касающиеся сетевой безопасности и отражения угроз","6564578","216","2188192"
"организация систем видеонаблюдения","9106727","105","4553363"
"построение и обслуживание структурированных кабельных систем (СКС)","7233247","167","3616623"
"создание и поддержка интеллектуальных медиасистем","986772","357","328924"
"телефония","2853493","133","1426746"
"создание виртуального офиса","9360661","155","4680330"
"организация резервного копирования","5638807","133","2819403"
"администрирование сетей и серверов","9109176","132","4554588"
"техническая поддержка рабочих станций и ИТ сервисов","9772910","62","4886455"
"веб-разработка","4665389","109","1555129"
"создание мобильных систем","175474","138","87737"
"создание и обслуживание систем контроля доступа к портам и устройствам","6763997","245","3381998"
"организацию антивирусной защиты","4423661","164","1474553"
"решения касающиеся сетевой безопасности и отражения угроз","1695386","72","565128"
"организация систем видеонаблюдения","4266247","130","1422082"
"построение и обслуживание структурированных кабельных систем (СКС)","6494801","356","3247400"
"создание и поддержка интеллектуальных медиасистем","9963861","123","4981930"
"телефония","6971666","219","2323888"
"создание виртуального офиса","2077254","102","692418"
"организация резервного копирования","3000177","144","1500088"
"администрирование сетей и серверов","3757606","190","1878803"
"техническая поддержка рабочих станций и ИТ сервисов","1916042","360","958021"
"веб-разработка","4864711","56","1621570"
"создание мобильных систем","1109164","280","554582"
"создание и обслуживание систем контроля доступа к портам и устройствам","4308891","19","1436297"
"организацию антивирусной защиты","3091205","230","1545602"
"решения касающиеся сетевой безопасности и отражения угроз","8178289","284","4089144"
"организация систем видеонаблюдения","3618246","37","1206082"
"построение и обслуживание структурированных кабельных систем (СКС)","8147997","49","2715999"
"создание и поддержка интеллектуальных медиасистем","4489864","197","1496621"
"телефония","4050952","172","1350317"
"создание виртуального офиса","5411415","133","2705707"
"организация резервного копирования","2188066","153","1094033"
"администрирование сетей и серверов","9036425","360","3012141"
"техническая поддержка рабочих станций и ИТ сервисов","9064180","119","4532090"
"веб-разработка","8529299","152","2843099"
"создание мобильных систем","1369766","259","456588"
"создание и обслуживание систем контроля доступа к портам и устройствам","9377605","346","4688802"
"организацию антивирусной защиты","3466155","238","1155385"
"решения касающиеся сетевой безопасности и отражения угроз","9391621","205","3130540"
"организация систем видеонаблюдения","5787780","128","2893890"
"построение и обслуживание структурированных кабельных систем (СКС)","9024848","185","3008282"
"создание и поддержка интеллектуальных медиасистем","7542618","164","2514206"
"телефония","1783092","14","594364"
"создание виртуального офиса","9396849","316","4698424"
"организация резервного копирования","1661703","302","830851"
"администрирование сетей и серверов","3979253","300","1326417"
"техническая поддержка рабочих станций и ИТ сервисов","7769928","190","2589976"
"веб-разработка","3810293","171","1270097"
"создание мобильных систем","7670754","307","3835377"
"создание и обслуживание систем контроля доступа к портам и устройствам","7891480","42","3945740"
"организацию антивирусной защиты","5266309","176","2633154"
"решения касающиеся сетевой безопасности и отражения угроз","4577574","159","2288787"
"организация систем видеонаблюдения","4412230","266","1470743"
"построение и обслуживание структурированных кабельных систем (СКС)","1133177","311","566588"
"создание и поддержка интеллектуальных медиасистем","7618646","313","3809323"
"телефония","6167683","22","2055894"
"создание виртуального офиса","6868087","212","3434043"
"организация резервного копирования","867245","26","433622"
"администрирование сетей и серверов","9176805","112","4588402"
"техническая поддержка рабочих станций и ИТ сервисов","7522475","173","2507491"
"веб-разработка","9370346","269","4685173"
"создание мобильных систем","1523667","250","761833"
"создание и обслуживание систем контроля доступа к портам и устройствам","4961255","156","1653751"
"организацию антивирусной защиты","4635768","331","1545256"
"решения касающиеся сетевой безопасности и отражения угроз","8702136","244","2900712"
