"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","2576220","14","1288110"
"создание и поддержка интеллектуальных медиасистем","7798251","50","2599417"
"телефония","5459640","272","1819880"
"создание виртуального офиса","7793507","196","2597835"
"организация резервного копирования","2681102","217","893700"
"администрирование сетей и серверов","5942140","194","2971070"
"техническая поддержка рабочих станций и ИТ сервисов","1572259","36","786129"
"веб-разработка","6650052","362","3325026"
"создание мобильных систем","256498","281","85499"
"создание и обслуживание систем контроля доступа к портам и устройствам","8028544","321","4014272"
"организацию антивирусной защиты","3960322","171","1320107"
"решения касающиеся сетевой безопасности и отражения угроз","5014667","352","2507333"
"организация систем видеонаблюдения","814602","108","407301"
"построение и обслуживание структурированных кабельных систем (СКС)","8444384","272","2814794"
"создание и поддержка интеллектуальных медиасистем","3381408","267","1127136"
"телефония","3752743","73","1250914"
"создание виртуального офиса","727035","229","242345"
"организация резервного копирования","2741974","305","1370987"
"администрирование сетей и серверов","6942148","296","3471074"
"техническая поддержка рабочих станций и ИТ сервисов","6332388","236","3166194"
"веб-разработка","1566373","147","783186"
"создание мобильных систем","6414608","337","3207304"
"создание и обслуживание систем контроля доступа к портам и устройствам","5559183","193","1853061"
"организацию антивирусной защиты","6304296","250","3152148"
"решения касающиеся сетевой безопасности и отражения угроз","7727500","200","2575833"
"организация систем видеонаблюдения","1593060","114","531020"
"построение и обслуживание структурированных кабельных систем (СКС)","624290","134","208096"
"создание и поддержка интеллектуальных медиасистем","1655631","205","551877"
"телефония","4413908","128","2206954"
"создание виртуального офиса","8533745","272","2844581"
"организация резервного копирования","9442877","275","3147625"
"администрирование сетей и серверов","6802817","90","3401408"
"техническая поддержка рабочих станций и ИТ сервисов","9671467","264","4835733"
"веб-разработка","7179373","340","2393124"
"создание мобильных систем","8794146","244","4397073"
"создание и обслуживание систем контроля доступа к портам и устройствам","4627885","342","2313942"
"организацию антивирусной защиты","5199905","49","2599952"
"решения касающиеся сетевой безопасности и отражения угроз","5759344","162","2879672"
"организация систем видеонаблюдения","1227448","127","613724"
"построение и обслуживание структурированных кабельных систем (СКС)","5562437","230","1854145"
"создание и поддержка интеллектуальных медиасистем","7277107","354","2425702"
"телефония","5761340","307","1920446"
"создание виртуального офиса","6809836","362","2269945"
"организация резервного копирования","6134357","238","2044785"
"администрирование сетей и серверов","6388900","337","3194450"
"техническая поддержка рабочих станций и ИТ сервисов","7150472","91","2383490"
"веб-разработка","3450513","199","1150171"
"создание мобильных систем","8235777","238","2745259"
"создание и обслуживание систем контроля доступа к портам и устройствам","2059052","116","1029526"
"организацию антивирусной защиты","9532456","240","4766228"
"решения касающиеся сетевой безопасности и отражения угроз","7274376","85","3637188"
"организация систем видеонаблюдения","6853114","196","2284371"
"построение и обслуживание структурированных кабельных систем (СКС)","661323","220","220441"
"создание и поддержка интеллектуальных медиасистем","1252314","254","417438"
"телефония","9118715","173","3039571"
"создание виртуального офиса","838492","235","419246"
"организация резервного копирования","1024278","67","512139"
"администрирование сетей и серверов","9229263","190","4614631"
"техническая поддержка рабочих станций и ИТ сервисов","8416227","328","4208113"
"веб-разработка","4801191","125","1600397"
"создание мобильных систем","740338","190","370169"
"создание и обслуживание систем контроля доступа к портам и устройствам","7121779","253","2373926"
"организацию антивирусной защиты","2044265","304","681421"
"решения касающиеся сетевой безопасности и отражения угроз","7495640","363","3747820"
"организация систем видеонаблюдения","9781663","323","3260554"
"построение и обслуживание структурированных кабельных систем (СКС)","2759451","74","919817"
"создание и поддержка интеллектуальных медиасистем","491433","201","163811"
"телефония","4955876","358","1651958"
"создание виртуального офиса","6127403","249","2042467"
"организация резервного копирования","1060075","162","530037"
"администрирование сетей и серверов","7392307","246","2464102"
"техническая поддержка рабочих станций и ИТ сервисов","2498768","311","832922"
"веб-разработка","6585288","196","2195096"
"создание мобильных систем","7179010","59","2393003"
"создание и обслуживание систем контроля доступа к портам и устройствам","8829484","322","4414742"
"организацию антивирусной защиты","6652912","219","3326456"
"решения касающиеся сетевой безопасности и отражения угроз","4158647","32","1386215"
"организация систем видеонаблюдения","8750562","267","4375281"
"построение и обслуживание структурированных кабельных систем (СКС)","3773681","124","1886840"
"создание и поддержка интеллектуальных медиасистем","4977338","213","2488669"
"телефония","5926787","225","2963393"
"создание виртуального офиса","7450559","235","3725279"
"организация резервного копирования","7474395","307","3737197"
"администрирование сетей и серверов","6615142","323","2205047"
"техническая поддержка рабочих станций и ИТ сервисов","4579883","28","1526627"
"веб-разработка","2669444","170","1334722"
"создание мобильных систем","4259390","138","1419796"
"создание и обслуживание систем контроля доступа к портам и устройствам","8880485","107","2960161"
"организацию антивирусной защиты","8911351","219","4455675"
"решения касающиеся сетевой безопасности и отражения угроз","2245244","105","1122622"
"организация систем видеонаблюдения","362251","109","120750"
"построение и обслуживание структурированных кабельных систем (СКС)","5159578","43","2579789"
"создание и поддержка интеллектуальных медиасистем","6581292","273","2193764"
"телефония","1672580","165","557526"
"создание виртуального офиса","6394102","121","2131367"
"организация резервного копирования","9254009","176","3084669"
"администрирование сетей и серверов","842970","64","280990"
"техническая поддержка рабочих станций и ИТ сервисов","8369610","114","4184805"
"веб-разработка","6056562","17","3028281"
"создание мобильных систем","5292667","349","2646333"
"создание и обслуживание систем контроля доступа к портам и устройствам","4490322","353","1496774"
"организацию антивирусной защиты","1724961","46","862480"
"решения касающиеся сетевой безопасности и отражения угроз","9023767","130","3007922"
"организация систем видеонаблюдения","685435","153","342717"
"построение и обслуживание структурированных кабельных систем (СКС)","9797877","325","4898938"
"создание и поддержка интеллектуальных медиасистем","5559621","47","2779810"
"телефония","9061126","127","3020375"
"создание виртуального офиса","5675952","169","1891984"
"организация резервного копирования","6030120","166","3015060"
"администрирование сетей и серверов","1691109","54","563703"
"техническая поддержка рабочих станций и ИТ сервисов","8103587","359","2701195"
"веб-разработка","5498951","43","1832983"
"создание мобильных систем","4981412","130","1660470"
"создание и обслуживание систем контроля доступа к портам и устройствам","7744178","133","2581392"
"организацию антивирусной защиты","196833","114","98416"
"решения касающиеся сетевой безопасности и отражения угроз","4109213","39","1369737"
"организация систем видеонаблюдения","3647401","329","1823700"
"построение и обслуживание структурированных кабельных систем (СКС)","2880130","194","1440065"
"создание и поддержка интеллектуальных медиасистем","3004572","226","1502286"
"телефония","6278134","254","3139067"
"создание виртуального офиса","3903155","351","1301051"
"организация резервного копирования","2010049","234","1005024"
"администрирование сетей и серверов","9761536","155","3253845"
"техническая поддержка рабочих станций и ИТ сервисов","1820989","121","910494"
"веб-разработка","4029509","133","1343169"
"создание мобильных систем","9135829","244","3045276"
"создание и обслуживание систем контроля доступа к портам и устройствам","6951431","170","2317143"
"организацию антивирусной защиты","1317752","338","658876"
"решения касающиеся сетевой безопасности и отражения угроз","388897","68","129632"
"организация систем видеонаблюдения","1107149","138","369049"
"построение и обслуживание структурированных кабельных систем (СКС)","5061823","342","1687274"
"создание и поддержка интеллектуальных медиасистем","4246406","182","2123203"
"телефония","1679289","320","559763"
"создание виртуального офиса","4090213","22","2045106"
"организация резервного копирования","1330409","307","443469"
"администрирование сетей и серверов","1852312","212","926156"
"техническая поддержка рабочих станций и ИТ сервисов","2646848","85","882282"
"веб-разработка","2889336","88","963112"
"создание мобильных систем","6565086","67","3282543"
"создание и обслуживание систем контроля доступа к портам и устройствам","5199914","205","1733304"
"организацию антивирусной защиты","8477050","29","2825683"
"решения касающиеся сетевой безопасности и отражения угроз","2001955","361","667318"
"организация систем видеонаблюдения","1443276","268","481092"
"построение и обслуживание структурированных кабельных систем (СКС)","671997","289","223999"
"создание и поддержка интеллектуальных медиасистем","6103154","263","3051577"
"телефония","6174354","330","2058118"
"создание виртуального офиса","4289758","149","2144879"
"организация резервного копирования","7502130","50","3751065"
"администрирование сетей и серверов","1298410","357","649205"
"техническая поддержка рабочих станций и ИТ сервисов","1530857","92","510285"
"веб-разработка","544058","267","181352"
"создание мобильных систем","1906212","23","953106"
"создание и обслуживание систем контроля доступа к портам и устройствам","2849709","176","949903"
"организацию антивирусной защиты","9480625","201","3160208"
"решения касающиеся сетевой безопасности и отражения угроз","8308452","157","4154226"
"организация систем видеонаблюдения","3941379","267","1970689"
"построение и обслуживание структурированных кабельных систем (СКС)","1664161","152","832080"
"создание и поддержка интеллектуальных медиасистем","6014813","265","3007406"
"телефония","9379040","116","4689520"
"создание виртуального офиса","6139337","53","3069668"
"организация резервного копирования","216696","268","108348"
"администрирование сетей и серверов","6844600","308","2281533"
"техническая поддержка рабочих станций и ИТ сервисов","5428149","103","2714074"
"веб-разработка","9171226","167","3057075"
"создание мобильных систем","3128485","339","1564242"
"создание и обслуживание систем контроля доступа к портам и устройствам","9175693","93","3058564"
"организацию антивирусной защиты","3179949","53","1589974"
"решения касающиеся сетевой безопасности и отражения угроз","6163197","109","3081598"
"организация систем видеонаблюдения","3673867","259","1224622"
"построение и обслуживание структурированных кабельных систем (СКС)","394193","143","197096"
"создание и поддержка интеллектуальных медиасистем","2373272","118","791090"
"телефония","7545905","320","2515301"
"создание виртуального офиса","8141937","177","4070968"
"организация резервного копирования","2810161","200","1405080"
"администрирование сетей и серверов","1245200","145","415066"
"техническая поддержка рабочих станций и ИТ сервисов","7711118","298","2570372"
"веб-разработка","7938546","179","2646182"
"создание мобильных систем","6035956","208","3017978"
"создание и обслуживание систем контроля доступа к портам и устройствам","5928215","191","1976071"
"организацию антивирусной защиты","5721242","125","2860621"
"решения касающиеся сетевой безопасности и отражения угроз","1452177","62","484059"
"организация систем видеонаблюдения","8608045","242","4304022"
"построение и обслуживание структурированных кабельных систем (СКС)","5342492","127","2671246"
"создание и поддержка интеллектуальных медиасистем","8601700","192","4300850"
"телефония","2254346","237","751448"
"создание виртуального офиса","5792032","42","1930677"
"организация резервного копирования","3469949","101","1734974"
"администрирование сетей и серверов","9480064","217","3160021"
"техническая поддержка рабочих станций и ИТ сервисов","6767684","49","2255894"
