"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","7496412","308","3748206"
"создание и поддержка интеллектуальных медиасистем","4807560","82","1602520"
"телефония","4992788","86","2496394"
"создание виртуального офиса","2172077","219","1086038"
"организация резервного копирования","4544993","70","2272496"
"администрирование сетей и серверов","6671847","246","2223949"
"техническая поддержка рабочих станций и ИТ сервисов","576945","92","192315"
"веб-разработка","1285312","110","642656"
"создание мобильных систем","3906915","31","1953457"
"создание и обслуживание систем контроля доступа к портам и устройствам","7518483","343","3759241"
"организацию антивирусной защиты","7740201","126","2580067"
"решения касающиеся сетевой безопасности и отражения угроз","8853243","261","4426621"
"организация систем видеонаблюдения","8957425","67","4478712"
"построение и обслуживание структурированных кабельных систем (СКС)","8519154","194","2839718"
"создание и поддержка интеллектуальных медиасистем","6355748","315","3177874"
"телефония","5476090","85","1825363"
"создание виртуального офиса","3338672","275","1112890"
"организация резервного копирования","9038016","202","4519008"
"администрирование сетей и серверов","8017753","299","4008876"
"техническая поддержка рабочих станций и ИТ сервисов","2838102","128","946034"
"веб-разработка","5918155","363","1972718"
"создание мобильных систем","1093568","79","546784"
"создание и обслуживание систем контроля доступа к портам и устройствам","9400176","129","4700088"
"организацию антивирусной защиты","8783058","280","4391529"
"решения касающиеся сетевой безопасности и отражения угроз","8953358","135","2984452"
"организация систем видеонаблюдения","5898789","59","1966263"
"построение и обслуживание структурированных кабельных систем (СКС)","7926042","297","2642014"
"создание и поддержка интеллектуальных медиасистем","104266","176","52133"
"телефония","1404584","27","702292"
"создание виртуального офиса","8775450","103","2925150"
"организация резервного копирования","4505152","278","1501717"
"администрирование сетей и серверов","7194428","291","3597214"
"техническая поддержка рабочих станций и ИТ сервисов","5788152","66","2894076"
"веб-разработка","750980","362","250326"
"создание мобильных систем","4180117","226","2090058"
"создание и обслуживание систем контроля доступа к портам и устройствам","9227494","90","3075831"
"организацию антивирусной защиты","6554744","180","2184914"
"решения касающиеся сетевой безопасности и отражения угроз","8503605","80","2834535"
"организация систем видеонаблюдения","455952","174","151984"
"построение и обслуживание структурированных кабельных систем (СКС)","3281024","271","1640512"
"создание и поддержка интеллектуальных медиасистем","9522867","51","3174289"
"телефония","9295098","346","4647549"
"создание виртуального офиса","9576210","187","4788105"
"организация резервного копирования","2599527","313","866509"
"администрирование сетей и серверов","4847939","81","2423969"
"техническая поддержка рабочих станций и ИТ сервисов","8181290","303","4090645"
"веб-разработка","5803731","35","2901865"
"создание мобильных систем","4284981","62","2142490"
"создание и обслуживание систем контроля доступа к портам и устройствам","2530347","287","1265173"
"организацию антивирусной защиты","6923935","339","3461967"
"решения касающиеся сетевой безопасности и отражения угроз","5644238","249","1881412"
"организация систем видеонаблюдения","2027500","37","675833"
"построение и обслуживание структурированных кабельных систем (СКС)","3417294","230","1708647"
"создание и поддержка интеллектуальных медиасистем","3829537","163","1914768"
"телефония","7339973","25","3669986"
"создание виртуального офиса","9908178","41","4954089"
"организация резервного копирования","448107","360","224053"
"администрирование сетей и серверов","863325","166","287775"
"техническая поддержка рабочих станций и ИТ сервисов","2449938","229","816646"
"веб-разработка","1632661","26","544220"
"создание мобильных систем","9543158","183","3181052"
"создание и обслуживание систем контроля доступа к портам и устройствам","3100053","191","1550026"
"организацию антивирусной защиты","4905420","277","2452710"
"решения касающиеся сетевой безопасности и отражения угроз","8738287","302","4369143"
"организация систем видеонаблюдения","3676307","221","1838153"
"построение и обслуживание структурированных кабельных систем (СКС)","5387826","104","1795942"
"создание и поддержка интеллектуальных медиасистем","1731762","289","865881"
"телефония","2953509","164","1476754"
"создание виртуального офиса","4116113","86","2058056"
"организация резервного копирования","583412","316","291706"
"администрирование сетей и серверов","445367","179","222683"
"техническая поддержка рабочих станций и ИТ сервисов","7996650","226","3998325"
"веб-разработка","338273","361","112757"
"создание мобильных систем","1381674","172","690837"
"создание и обслуживание систем контроля доступа к портам и устройствам","2654858","323","1327429"
"организацию антивирусной защиты","7755553","148","2585184"
"решения касающиеся сетевой безопасности и отражения угроз","4366546","92","2183273"
"организация систем видеонаблюдения","693500","245","346750"
"построение и обслуживание структурированных кабельных систем (СКС)","9030048","145","4515024"
"создание и поддержка интеллектуальных медиасистем","2199295","96","1099647"
"телефония","9650475","99","4825237"
"создание виртуального офиса","5804069","305","1934689"
"организация резервного копирования","2642209","127","880736"
"администрирование сетей и серверов","1540079","258","770039"
"техническая поддержка рабочих станций и ИТ сервисов","9050628","77","3016876"
"веб-разработка","9099231","248","4549615"
"создание мобильных систем","2482348","123","827449"
"создание и обслуживание систем контроля доступа к портам и устройствам","153071","128","76535"
"организацию антивирусной защиты","7380417","323","3690208"
"решения касающиеся сетевой безопасности и отражения угроз","7031863","76","2343954"
"организация систем видеонаблюдения","1144327","229","572163"
"построение и обслуживание структурированных кабельных систем (СКС)","3332183","185","1666091"
"создание и поддержка интеллектуальных медиасистем","2413483","73","1206741"
"телефония","6630047","95","2210015"
"создание виртуального офиса","8661767","108","2887255"
"организация резервного копирования","6981466","288","2327155"
"администрирование сетей и серверов","8027469","141","4013734"
"техническая поддержка рабочих станций и ИТ сервисов","1229442","361","409814"
"веб-разработка","6779896","68","2259965"
"создание мобильных систем","1214533","310","607266"
