"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","2555294","219","1277647"
"создание и поддержка интеллектуальных медиасистем","1690015","64","845007"
"телефония","6203291","113","3101645"
"создание виртуального офиса","4552854","139","2276427"
"организация резервного копирования","1134622","270","378207"
"администрирование сетей и серверов","270667","361","90222"
"техническая поддержка рабочих станций и ИТ сервисов","5580937","331","1860312"
"веб-разработка","8588352","344","4294176"
"создание мобильных систем","4531070","162","1510356"
"создание и обслуживание систем контроля доступа к портам и устройствам","174532","175","87266"
"организацию антивирусной защиты","4997620","75","2498810"
"решения касающиеся сетевой безопасности и отражения угроз","1309201","226","436400"
"организация систем видеонаблюдения","9429477","329","3143159"
"построение и обслуживание структурированных кабельных систем (СКС)","9606779","113","4803389"
"создание и поддержка интеллектуальных медиасистем","1102620","52","367540"
"телефония","1951824","256","975912"
"создание виртуального офиса","6338405","70","2112801"
"организация резервного копирования","8369908","223","2789969"
"администрирование сетей и серверов","242564","276","80854"
"техническая поддержка рабочих станций и ИТ сервисов","4417721","106","1472573"
"веб-разработка","1113429","128","371143"
"создание мобильных систем","9049174","304","4524587"
"создание и обслуживание систем контроля доступа к портам и устройствам","9249278","266","4624639"
"организацию антивирусной защиты","8840677","176","4420338"
"решения касающиеся сетевой безопасности и отражения угроз","9757678","234","4878839"
"организация систем видеонаблюдения","4253603","250","2126801"
"построение и обслуживание структурированных кабельных систем (СКС)","2008278","56","669426"
"создание и поддержка интеллектуальных медиасистем","9949320","332","4974660"
"телефония","7099902","156","2366634"
"создание виртуального офиса","6782530","297","3391265"
"организация резервного копирования","1904376","223","952188"
"администрирование сетей и серверов","7176851","256","2392283"
"техническая поддержка рабочих станций и ИТ сервисов","919404","341","306468"
"веб-разработка","2647544","230","882514"
"создание мобильных систем","3445918","91","1722959"
"создание и обслуживание систем контроля доступа к портам и устройствам","7266265","92","2422088"
"организацию антивирусной защиты","489194","358","163064"
"решения касающиеся сетевой безопасности и отражения угроз","6480437","28","2160145"
"организация систем видеонаблюдения","9628634","350","3209544"
