"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","1446978","111","482326"
"создание и поддержка интеллектуальных медиасистем","2968512","163","989504"
"телефония","1963270","316","981635"
"создание виртуального офиса","3629869","134","1814934"
"организация резервного копирования","9844253","326","4922126"
"администрирование сетей и серверов","9805655","210","4902827"
"техническая поддержка рабочих станций и ИТ сервисов","3356421","363","1678210"
"веб-разработка","1098563","26","549281"
"создание мобильных систем","4496585","338","1498861"
"создание и обслуживание систем контроля доступа к портам и устройствам","9378417","294","4689208"
"организацию антивирусной защиты","318764","277","159382"
"решения касающиеся сетевой безопасности и отражения угроз","7418642","31","2472880"
"организация систем видеонаблюдения","4653684","236","2326842"
"построение и обслуживание структурированных кабельных систем (СКС)","1995239","315","997619"
"создание и поддержка интеллектуальных медиасистем","2860061","77","953353"
"телефония","585652","168","292826"
"создание виртуального офиса","5930154","69","1976718"
"организация резервного копирования","6722492","360","3361246"
"администрирование сетей и серверов","6254545","273","3127272"
"техническая поддержка рабочих станций и ИТ сервисов","6030980","242","2010326"
"веб-разработка","8908804","203","4454402"
"создание мобильных систем","9455529","307","3151843"
"создание и обслуживание систем контроля доступа к портам и устройствам","3344100","309","1672050"
"организацию антивирусной защиты","4559396","129","2279698"
"решения касающиеся сетевой безопасности и отражения угроз","7781434","211","2593811"
"организация систем видеонаблюдения","779687","328","259895"
"построение и обслуживание структурированных кабельных систем (СКС)","8818137","65","2939379"
"создание и поддержка интеллектуальных медиасистем","152662","131","50887"
"телефония","6344374","284","2114791"
"создание виртуального офиса","9369306","73","4684653"
"организация резервного копирования","9666708","59","3222236"
"администрирование сетей и серверов","3039642","162","1519821"
"техническая поддержка рабочих станций и ИТ сервисов","2045379","45","1022689"
"веб-разработка","2082715","48","694238"
"создание мобильных систем","4317413","307","2158706"
"создание и обслуживание систем контроля доступа к портам и устройствам","7610021","107","2536673"
"организацию антивирусной защиты","5701829","264","2850914"
"решения касающиеся сетевой безопасности и отражения угроз","8528325","294","4264162"
"организация систем видеонаблюдения","2367002","293","789000"
"построение и обслуживание структурированных кабельных систем (СКС)","5835683","244","1945227"
"создание и поддержка интеллектуальных медиасистем","2232009","91","744003"
"телефония","9187256","171","3062418"
"создание виртуального офиса","4160199","329","1386733"
"организация резервного копирования","7848287","20","2616095"
"администрирование сетей и серверов","3800938","117","1900469"
"техническая поддержка рабочих станций и ИТ сервисов","5063442","72","2531721"
"веб-разработка","1853887","131","617962"
"создание мобильных систем","6400582","325","3200291"
"создание и обслуживание систем контроля доступа к портам и устройствам","2927664","265","1463832"
"организацию антивирусной защиты","3167639","112","1583819"
"решения касающиеся сетевой безопасности и отражения угроз","5706479","187","2853239"
"организация систем видеонаблюдения","1058690","228","529345"
"построение и обслуживание структурированных кабельных систем (СКС)","5789842","307","2894921"
"создание и поддержка интеллектуальных медиасистем","1886267","31","628755"
"телефония","1276128","54","638064"
"создание виртуального офиса","2418700","234","1209350"
"организация резервного копирования","2583286","92","861095"
"администрирование сетей и серверов","2130408","303","710136"
"техническая поддержка рабочих станций и ИТ сервисов","202536","35","67512"
"веб-разработка","706623","178","235541"
"создание мобильных систем","1997692","99","998846"
"создание и обслуживание систем контроля доступа к портам и устройствам","3010013","337","1505006"
"организацию антивирусной защиты","2385164","96","1192582"
"решения касающиеся сетевой безопасности и отражения угроз","6403049","148","3201524"
"организация систем видеонаблюдения","480971","333","240485"
"построение и обслуживание структурированных кабельных систем (СКС)","1524019","240","508006"
"создание и поддержка интеллектуальных медиасистем","3808854","45","1904427"
"телефония","986875","234","328958"
"создание виртуального офиса","1339414","59","446471"
"организация резервного копирования","1954875","45","977437"
"администрирование сетей и серверов","9178063","60","4589031"
"техническая поддержка рабочих станций и ИТ сервисов","3566431","181","1783215"
"веб-разработка","7425899","320","2475299"
"создание мобильных систем","9731939","49","3243979"
"создание и обслуживание систем контроля доступа к портам и устройствам","2546682","235","848894"
"организацию антивирусной защиты","2196808","127","732269"
"решения касающиеся сетевой безопасности и отражения угроз","2827544","241","942514"
"организация систем видеонаблюдения","2212760","119","1106380"
"построение и обслуживание структурированных кабельных систем (СКС)","8014797","179","2671599"
"создание и поддержка интеллектуальных медиасистем","3035813","18","1011937"
"телефония","5986426","79","1995475"
"создание виртуального офиса","3398534","310","1699267"
"организация резервного копирования","6746540","84","2248846"
"администрирование сетей и серверов","1320912","42","660456"
"техническая поддержка рабочих станций и ИТ сервисов","8457187","112","4228593"
"веб-разработка","7744570","139","3872285"
"создание мобильных систем","9358372","341","3119457"
"создание и обслуживание систем контроля доступа к портам и устройствам","602659","79","301329"
"организацию антивирусной защиты","7849799","222","3924899"
"решения касающиеся сетевой безопасности и отражения угроз","8603784","203","4301892"
"организация систем видеонаблюдения","5484896","321","1828298"
"построение и обслуживание структурированных кабельных систем (СКС)","3935530","288","1967765"
"создание и поддержка интеллектуальных медиасистем","6106436","58","3053218"
"телефония","3563816","92","1187938"
"создание виртуального офиса","3232204","354","1616102"
"организация резервного копирования","8901107","139","2967035"
"администрирование сетей и серверов","9874539","364","3291513"
"техническая поддержка рабочих станций и ИТ сервисов","7221084","129","3610542"
"веб-разработка","3347908","168","1673954"
"создание мобильных систем","9196514","248","4598257"
"создание и обслуживание систем контроля доступа к портам и устройствам","487439","128","162479"
"организацию антивирусной защиты","954637","165","477318"
"решения касающиеся сетевой безопасности и отражения угроз","3498519","333","1166173"
"организация систем видеонаблюдения","1251969","297","625984"
"построение и обслуживание структурированных кабельных систем (СКС)","482025","330","241012"
"создание и поддержка интеллектуальных медиасистем","742290","302","371145"
"телефония","6104862","301","2034954"
"создание виртуального офиса","4121397","85","2060698"
"организация резервного копирования","6831589","317","3415794"
"администрирование сетей и серверов","9353874","87","4676937"
"техническая поддержка рабочих станций и ИТ сервисов","674675","259","224891"
"веб-разработка","4580300","42","2290150"
"создание мобильных систем","9553357","318","3184452"
"создание и обслуживание систем контроля доступа к портам и устройствам","274241","162","137120"
"организацию антивирусной защиты","269519","193","134759"
"решения касающиеся сетевой безопасности и отражения угроз","6331698","152","3165849"
"организация систем видеонаблюдения","9493488","74","4746744"
"построение и обслуживание структурированных кабельных систем (СКС)","4058695","345","2029347"
"создание и поддержка интеллектуальных медиасистем","741924","314","370962"
"телефония","8851074","187","4425537"
"создание виртуального офиса","2989519","65","996506"
"организация резервного копирования","2413502","142","804500"
"администрирование сетей и серверов","4345460","48","1448486"
"техническая поддержка рабочих станций и ИТ сервисов","6578777","196","3289388"
"веб-разработка","256580","240","128290"
"создание мобильных систем","2938458","179","1469229"
"создание и обслуживание систем контроля доступа к портам и устройствам","1443180","158","721590"
"организацию антивирусной защиты","2655015","273","885005"
"решения касающиеся сетевой безопасности и отражения угроз","8522959","196","4261479"
"организация систем видеонаблюдения","2799523","218","933174"
"построение и обслуживание структурированных кабельных систем (СКС)","5999038","361","2999519"
"создание и поддержка интеллектуальных медиасистем","468733","153","234366"
"телефония","1843525","264","921762"
"создание виртуального офиса","723566","252","241188"
"организация резервного копирования","8227608","236","2742536"
